lookup_key,occurrences,source_files,candidate_structure_ids,review_states
H71,2,2,source-h-locators,"{""source-locator-candidate"": 2}"
h^2,3,2,power-expression,"{""derived-notation"": 3}"
I1,5,1,identity-matrices;inertia-moments,"{""ambiguous"": 5}"
I12,7,2,identity-matrices,"{""single-candidate"": 7}"
I2,10,6,identity-matrices,"{""single-candidate"": 10}"
I20,1,1,identity-matrices;source-path-fragments,"{""explicit-metadata"": 1}"
I3,9,5,identity-matrices;inertia-moments,"{""ambiguous"": 9}"
I30,1,1,identity-matrices,"{""single-candidate"": 1}"
I4,2,2,identity-matrices,"{""single-candidate"": 2}"
I6,16,8,c2-axis-central;identity-matrices,"{""ambiguous"": 16}"
I60,4,4,identity-matrices,"{""single-candidate"": 4}"
I600,4,2,identity-matrices,"{""single-candidate"": 4}"
J2,15,4,history-clifford-j2,"{""single-candidate"": 15}"
J2^2,2,2,power-expression,"{""derived-notation"": 2}"
J5,24,4,frame-golden-involution,"{""single-candidate"": 24}"
J5^2,2,2,power-expression,"{""single-candidate"": 2}"
J^2,5,4,power-expression,"{""derived-notation"": 5}"
J^4,1,1,power-expression,"{""derived-notation"": 1}"
K1,6,6,quaternionic-face-axes;source-equation-codes,"{""single-candidate"": 3, ""explicit-metadata"": 3}"
K12,1,1,k12-complete-parent,"{""single-candidate"": 1}"
K120,35,12,k120-common-cover;k120-group-locator;source-equation-codes,"{""ambiguous"": 34, ""explicit-metadata"": 1}"
K1800,9,1,c4-g1800;g1800-operator,"{""ambiguous"": 9}"
K1800^4,1,1,power-expression,"{""derived-notation"": 1}"
K2,7,6,k2-edge;quaternionic-face-axes;source-equation-codes,"{""ambiguous"": 4, ""explicit-metadata"": 3}"
k22,4,2,source-path-fragments,"{""explicit-metadata"": 2, ""single-candidate"": 2}"
K3,5,5,quaternionic-face-axes;source-equation-codes,"{""explicit-metadata"": 3, ""single-candidate"": 2}"
K4,11,11,k4-matching;source-equation-codes,"{""single-candidate"": 8, ""explicit-metadata"": 3}"
K5,42,5,frame-contrast;history-fivefold-contrast;source-equation-codes,"{""ambiguous"": 41, ""explicit-metadata"": 1}"
K5^2,4,4,power-expression,"{""single-candidate"": 4}"
K6,2,1,k6-component,"{""single-candidate"": 2}"
K^2,2,2,power-expression,"{""derived-notation"": 2}"
K^4,2,2,power-expression,"{""derived-notation"": 2}"
L0,26,1,reference-lines,"{""single-candidate"": 26}"
L1,27,2,cartan-inert-lines;reference-lines,"{""ambiguous"": 27}"
L2,8,6,cartan-inert-lines;l2-field-space;source-path-fragments,"{""explicit-metadata"": 7, ""ambiguous"": 1}"
L3,9,1,top-l3,"{""single-candidate"": 9}"
L3^2,1,1,power-expression,"{""derived-notation"": 1}"
L^2,4,2,l2-field-space,"{""superscript-review"": 4}"
M0,1,1,wxyz-m-controls,"{""single-candidate"": 1}"
M1,10,10,source-equation-codes;wxyz-m-controls,"{""single-candidate"": 7, ""explicit-metadata"": 3}"
M2,4,4,matrix-algebras;source-equation-codes,"{""single-candidate"": 1, ""explicit-metadata"": 3}"
M3,3,3,source-equation-codes,"{""explicit-metadata"": 3}"
M4,11,11,m4-mode-set;source-equation-codes,"{""single-candidate"": 7, ""explicit-metadata"": 4}"
M6,1,1,face-crown,"{""single-candidate"": 1}"
N0,2,2,n0-count-domain,"{""single-candidate"": 2}"
n0,2,1,escaped-string-fragment,"{""serialization-fragment"": 2}"
N015,5,2,source-census-codes;source-path-fragments,"{""explicit-metadata"": 5}"
N030,5,2,source-census-codes;source-path-fragments,"{""explicit-metadata"": 5}"
N060,16,3,source-census-codes;source-path-fragments,"{""explicit-metadata"": 16}"
N1,2,1,n1-registration-count,"{""single-candidate"": 2}"
n1,5,1,escaped-string-fragment,"{""serialization-fragment"": 5}"
N120,6,3,source-census-codes;source-path-fragments,"{""explicit-metadata"": 6}"
N^2,2,2,power-expression,"{""derived-notation"": 2}"
O(2),7,6,o2-surface-envelope;rotor-o2,"{""ambiguous"": 7}"
O48,1,1,source-audit-codes,"{""source-locator-candidate"": 1}"
P0,10,4,frame-common-projector;p01-line-partitions,"{""ambiguous"": 10}"
P1,1,1,p01-line-partitions,"{""single-candidate"": 1}"
p1,2,2,source-path-fragments,"{""single-candidate"": 1, ""explicit-metadata"": 1}"
p3,1,1,source-path-fragments,"{""single-candidate"": 1}"
P^2,1,1,power-expression,"{""derived-notation"": 1}"
q1,5,1,cartan-charge-coefficients,"{""single-candidate"": 5}"
q15,3,2,quotient-q15,"{""single-candidate"": 3}"
q2,5,1,cartan-charge-coefficients,"{""single-candidate"": 5}"
Q30,30,13,q30-family,"{""single-candidate"": 30}"
q30,3,2,quotient-q30,"{""single-candidate"": 3}"
Q8,2,1,q8-lifted-holonomy,"{""single-candidate"": 2}"
Q^2,1,1,power-expression,"{""derived-notation"": 1}"
q^2,1,1,power-expression,"{""derived-notation"": 1}"
R0,100,4,kernel-reverse,"{""single-candidate"": 100}"
r0,10,7,history-primitive-family,"{""single-candidate"": 10}"
R1,99,4,kernel-reverse,"{""single-candidate"": 99}"
r1,124,33,history-primitive-family;r-indexed-receipts;r1-history-class;r1-native-residual;source-path-fragments,"{""ambiguous"": 114, ""explicit-metadata"": 10}"
R2,6,3,real-spaces,"{""single-candidate"": 6}"
r2,7,5,history-primitive-family;r-indexed-receipts,"{""ambiguous"": 7}"
R3,1,1,analyzer-r3;real-spaces,"{""ambiguous"": 1}"
r3,4,1,cellular-r3-word,"{""single-candidate"": 4}"
R5,10,3,frame-current-sign;real-spaces,"{""ambiguous"": 10}"
r5,8,1,frame-sign-values,"{""single-candidate"": 8}"
R5^2,1,1,power-expression,"{""derived-notation"": 1}"
R6,4,1,real-spaces,"{""single-candidate"": 4}"
R^1800,2,2,power-expression,"{""derived-notation"": 2}"
R^3,4,3,real-spaces,"{""superscript-review"": 4}"
R^4,2,1,power-expression,"{""derived-notation"": 2}"
r^4,3,3,power-expression,"{""superscript-review"": 3}"
R^8,3,2,power-expression,"{""derived-notation"": 3}"
RP2,1,1,rotor-projective-base,"{""single-candidate"": 1}"
S0,7,5,phase-cosets,"{""single-candidate"": 7}"
S1,58,9,circle-space;phase-cosets;s1-residual-reflection;source-equation-codes,"{""explicit-metadata"": 1, ""ambiguous"": 57}"
s1,9,6,source-path-fragments,"{""explicit-metadata"": 8, ""single-candidate"": 1}"
S10,6,6,source-equation-codes,"{""explicit-metadata"": 6}"
S11,18,6,source-equation-codes,"{""explicit-metadata"": 18}"
